"code","code"
"food","food"
"id","id"
"tag","tag"
"legend","legend"
"name","name"
"title","title"
"label","label"
"scie","scie"
"scientific","scientific"
"binomial","binomial"
"genus","genus"
"botanical","botanical"
"lang","lang"
"local","local"
"colloquial","colloquial"
"trivial","trivial"
"country","country"
"farmer","farmer"
"popular","popular"
"grup","grup"
"group","group"
"category","category"
"class","class"
"classification","classification"
"grouping","grouping"
"type","type"
"sort","sort"
"kind","kind"
"regn","regn"
"no","no"
"of","of"
"regions","regions"
"number","number"
"water","water"
"moisture","moisture"
"liquid","liquid"
"steam","steam"
"vapour","vapour"
"proximate","proximate"
"protcnt","protcnt"
"protein","protein"
"essential","essential"
"macronutrient","macronutrient"
"ash","ash"
"metal","metal"
"oxide","oxide"
"mineral","mineral"
"inorganic","inorganic"
"element","element"
"residue","residue"
"fatce","fatce"
"total","total"
"fat","fat"
"triglyceride","triglyceride"
"lipid","lipid"
"blubber","blubber"
"fibtg","fibtg"
"dietary","dietary"
"fiber","fiber"
"fibre","fibre"
"roughage","roughage"
"bulk","bulk"
"indigestible","indigestible"
"fibins","fibins"
"insoluble","insoluble"
"fibsol","fibsol"
"soluble","soluble"
"choavldf","choavldf"
"carbohydrate","carbohydrate"
"cho","cho"
"saccharide","saccharide"
"ose","ose"
"glucide","glucide"
"hydrate","hydrate"
"carbon","carbon"
"enerc","enerc"
"energy","energy"
"atp","atp"
"calorie","calorie"
"metabolism","metabolism"
"thia","thia"
"thiamine","thiamine"
"b1","b1"
"thiamin","thiamin"
"aneurine","aneurine"
"vitamin","vitamin"
"b","b"
"ribf","ribf"
"riboflavin","riboflavin"
"b2","b2"
"vactochrome","vactochrome"
"lactoflavin","lactoflavin"
"g","g"
"nia","nia"
"niacin","niacin"
"b3","b3"
"nicotinic","nicotinic"
"acid","acid"
"nicotinamide","nicotinamide"
"bionic","bionic"
"pp","pp"
"white","white"
"translucent","translucent"
"crystalline","crystalline"
"crystal","crystal"
"pantac","pantac"
"pantothenic","pantothenic"
"b5","b5"
"pantothenate","pantothenate"
"yellow","yellow"
"oil","oil"
"colorless","colorless"
"vitb6c","vitb6c"
"b6","b6"
"pn","pn"
"p5p","p5p"
"pl","pl"
"plp","plp"
"pm","pm"
"pmp","pmp"
"pa","pa"
