"a001","a001"
"amaranth","amaranth"
"seed","seed"
"black","black"
"amaranthus","amaranthus"
"cruentus","cruentus"
"moricha","moricha"
"guti","guti"
"ramdana","ramdana"
"danthu","danthu"
"beeja","beeja"
"mawal","mawal"
"cheera","cheera"
"vithu","vithu"
"chengkruk","chengkruk"
"maru","maru"
"cavali","cavali"
"biya","biya"
"kosala","kosala"
"sag","sag"
"manji","manji"
"dhala","dhala"
"chaulali","chaulali"
"beej","beej"
"keerai","keerai"
"vidai","vidai"
"thotakoora","thotakoora"
"ginjalu","ginjalu"
"cereals","cereals"
"and","and"
"millets","millets"
"a002","a002"
"pale","pale"
"brown","brown"
"rajagaro","rajagaro"
"maji","maji"
"kale","kale"
"a003","a003"
"bajra","bajra"
"pennisetum","pennisetum"
"typhoideum","typhoideum"
"a.","a."
"baajra","baajra"
"bajri","bajri"
"sajje","sajje"
"krai","krai"
"kambam","kambam"
"bajara","bajara"
"kambu","kambu"
"sajjalu","sajjalu"
"a004","a004"
"barley","barley"
"hordeum","hordeum"
"vulgare","vulgare"
"barli","barli"
"jav","jav"
"jau","jau"
"wushke","wushke"
"sath","sath"
"jaba","jaba"
"jao","jao"
"yava","yava"
"baarli","baarli"
"arisi","arisi"
"a005","a005"
"jowar","jowar"
"sorghum","sorghum"
"jolada","jolada"
"pingu","pingu"
"irunku","irunku"
"jondhahlaa","jondhahlaa"
"janha","janha"
"javara","javara"
"cholam","cholam"
"jonna","jonna"
"a006","a006"
"maize","maize"
"dry","dry"
"zea","zea"
"mays","mays"
"makoi","makoi"
"bhutta","bhutta"
"makai","makai"
"makka","makka"
"mekke","mekke"
"jola","jola"
"symbai","symbai"
"riewhadem","riewhadem"
"stem","stem"
"chujaak","chujaak"
"maka","maka"
"sukha","sukha"
"chhali","chhali"
"yaavanaala","yaavanaala"
"mokkajonna","mokkajonna"
"a007","a007"
"tender","tender"
"local","local"
"lili","lili"
"a008","a008"
"sweet","sweet"
"lieh","lieh"
"a009","a009"
"quinoa","quinoa"
"chenopodium","chenopodium"
"a010","a010"
"ragi","ragi"
"eleusine","eleusine"
"coracana","coracana"
"bavato","bavato"
"bhakri","bhakri"
"ukrai","ukrai"
"panjapulle","panjapulle"
"kodo","kodo"
"mandia","mandia"
"mandal","mandal"
"madhulika","madhulika"
"kelvaragu","kelvaragu"
"mandwa","mandwa"
"a011","a011"
"rice","rice"
"flakes","flakes"
"oryza","oryza"
"sativa","sativa"
"chira","chira"
"chide","chide"
"paunva","paunva"
"poha","poha"
"avalakki","avalakki"
"chevri","chevri"
"shira","shira"
"aval","aval"
"chengpaak","chengpaak"
"pohe","pohe"
"chudaa","chudaa"
"chirwre","chirwre"
"atukulu","atukulu"
"a012","a012"
"puffed","puffed"
"muri","muri"
"mamra","mamra"
"muramure","muramure"
"kalle","kalle"
"puri","puri"
"tomul","tomul"
"pori","pori"
"kabok","kabok"
"mur","mur"
"chirmure","chirmure"
"murai","murai"
"mudhi","mudhi"
"phulian","phulian"
"maramaralu","maramaralu"
