"Gravimetric using vacuum /Hot air oven; AOAC 934.01","Moisture"
"Titrimetry by combustion/Kjeldahl/Mixed catalyst; AOAC 2001.11; Jones (1941)","Protein"
"Gravimetric using Muffle furnace; AOAC 942.05","Ash"
"Gravimetry; Ether extraction using Soxhlet apparatus; AOAC 963.15","Total fat"
"Enzymatic-gravimetric; AOAC 991.43","Total, soluble and insoluble dietary fiber"
"Calculation by difference; Greenfield & Southgate (2003)","Available carbohydrate"
"Trienzyme extraction and spectrophotometry; AOAC 991.43; AOAC 985.29","Available carbohydrate"
"Atwater conversion factors; Merrill & Watt (1973); FAO / INFOODS Guidelines (2012)","Energy"
"Fluorometry; AOAC 942.23; Ramasastri (1975)","Thiamin"
"Turbidometric-Microbiological assay; AOAC 940.33; AOAC 960.46","Riboflavin"
"Turbidometric-Microbiological assay; AOAC 985.34; 960.46","Niacin"
"RP-HPLC with UV detector; David & Harvey (2000)","Pantothenic acid"
"HPLC-fluorometric detection; AOAC 985.32; Ollilainen (2008)","Vitamin B6"
"U-HPLC and LC-ESI-IT-MS method; Holler et al. (2006)","Biotin"
"Trienzyme Extraction and U-HPLC - UV or fluorescence detection; Finglas et al. (1999); Vahteristo et al. (1996); AOAC 2011.06; AOAC 2013.13","Vitamin B9"
"RP-HPLC; AOAC 985.33; Keating & Haddad (1982)","Vitamin C"
"HPLC; AOAC 992.03; AOAC 2012.10","Vitamin E"
"HPLC; AOAC 974.29; Bieri et al. (1979)","Vitamin A"
"HPLC; Delia & Mieko (2004)","Carotenoids"
"RP- HPLC-APCI-MS.; AOAC 982.29","Vitamin D2 & D3"
"RP- HPLC-APCI-MS; AOAC 992.27","Vitamin K1 & K2"
"HPLC-RID; AOAC 2013.12","Free sugars"
"Calculated from the increase in the amount of glucose by using conversion factor; Casterline et al. (1998)","Starch"
"HPLC; Frias et al. (1994); Johansen et al. (1996); Sanchez-Mata et al. (1998)","Oligosaccharides Raffinose, Stachyose, Verbascose and Ajucose"
"Atomic Absorption Spectrophotometry (AAS)","Iron, Zinc, Copper, Manganese, Potassium, Magnesium, Sodium, Calcium, Aluminium"
"Graphite furnace Atomic Absorption Spectrophotometry; AOAC 968.08; AOAC 999.10; AOAC 999.11","Lead, Cadmium, Nickel, Cobalt, Chromium, Lithium, Molybdenum"
"Atomic Absorption Spectrophotometry (Hydride generation)","Arsenic, Antimony, Mercury, and Selenium"
"Colorimetry; AOAC 935.45; AOAC 995.11; Fiske & Subbarow (1925)","Phosphorus"
"Inductively Coupled Plasma Mass Spectrometry (ICP-MS); AOAC 2013.06","Heavy and trace metals Lead, Mercury, Antimony, Cadmium, Molybdenum, Selenium, Arsenic, Cobalt, Nickel, Chromium, Aluminum, Lithium"
"HPLC; AOAC 969.30; AOAC 950.35; AOAC 948.14","Citric acid, Malic acid, Fumaric acid, Succinic acid, Lactic acid, Cis-Aconitic acid, Tartaric acid and Quninic acid"
"Fast- HPLC; Moreau & Savage (2009)","Oxalic acid Total, Soluble oxalic acid, Insoluble oxalic acid"
"Gas Chromatography with Flame Ionization Detector; AOAC 996.06; AOAC 996.01; AOAC 2012.13","Fatty acid profile"
"Amino acid analyzer (Ion exchange chromatography); AOAC 994.12; AOAC 985.28; Landry & Delhaye (1992)","Amino acid profile"
"Gas Chromatography (GC); AOAC 922.06; Sorenson & Sullivan (2007)","Stigmasterol, β-Sitosterol, Campesterol, Ergosterol, 5-alpha-Cholestenol"
"HPLC; Sakakibara et al. (2003)","Polyphenols"
"Ion Exchange and Spectrophotometry; AOAC 986.11-1988","Phyates"
"Colorimetry; Dini et al. (2009)","Total Saponin"
